"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Dm_00004058",3751.87678301334,-0.345600119988362,0.0362284473925382,-9.53946814898681,1.43566684024905e-21,5.59375231986009e-21
"Dm_00004059",136.885491060456,0.0654536238467829,0.160085185305396,0.408867464668368,0.682636926663713,0.732141829790398
"Dm_00004060",340.728037909135,-0.389906169532061,0.100344788405422,-3.88566437508169,0.000102050414746088,0.000192640171849345
"Dm_00004061",1077.1490631633,-0.363401556027969,0.0578421095158505,-6.28264700353617,3.32856273333068e-10,8.76623779768886e-10
"Dm_00004062",2814.06403588734,-0.528559340511758,0.040237506726442,-13.1359863846737,2.04805176631484e-39,1.1515433719104e-38
"Dm_00004063",93.9715352945519,-2.19337481468648,0.216756792107174,-10.1190592154638,4.54765675599049e-24,1.89410732455387e-23
"Dm_00004064",2056.34604982273,-0.918141201238542,0.0450732228081379,-20.3699922933572,3.08726528798157e-92,3.0608685959282e-91
"Dm_00004065",280.385140370733,0.584687581812355,0.1138999475722,5.13334373083645,2.84639374870042e-07,6.38374110255138e-07
"Dm_00004066",1000.59300430791,3.72030129298368,0.091968103581409,40.4520822775313,0,0
"Dm_00004067",391.626358835534,2.08863517627505,0.116174431456434,17.9784411259055,2.87461601388008e-72,2.41467745165927e-71
"Dm_00004068",1881.2206377658,-0.888334480972427,0.0471060845500798,-18.8581685244507,2.51791800908615e-79,2.26230903882069e-78
"Dm_00004069",13.5050135942055,-1.15630352122671,0.502876123671316,-2.29938043744245,0.0214833458060617,0.0319524583686773
"Dm_00004070",5.10654771053996,1.040908032686,0.826403086980239,1.25956455038132,0.207826490447684,0.258804630361388
"Dm_00004071",603.561922098825,-0.339220551615166,0.0795237290371465,-4.26565197234039,1.99319282607968e-05,3.9685295014218e-05
"Dm_00004072",3084.27672570664,-3.4181986386724,0.0484039020416516,-70.6182455234918,0,0
"Dm_00004073",15.4296185454884,-0.424329755938123,0.467369405902039,-0.907910852913344,0.363925323151943,0.426070604410111
"Dm_00004074",28.4809491118197,-0.615325134737936,0.340788159007753,-1.80559423346613,0.0709817440777563,0.0974058716003992
"Dm_00004075",925.424240169377,0.0251633414273661,0.0630305695813733,0.399224401659259,0.689727864764328,0.738175572967377
"Dm_00004076",358.064863069314,0.849437212622428,0.100730597734518,8.43276255404712,3.3759925728274e-17,1.15878663986238e-16
"Dm_00004077",19.8104470392237,1.60969950555208,0.441658750856703,3.6446679759649,0.00026773722260302,0.000487964810489013
"Dm_00004078",645.536040129859,0.794304856502821,0.0767415408728804,10.3503897298408,4.16785714126778e-25,1.77755996733921e-24
"Dm_00004079",30.1327092354487,2.21955290132378,0.383232962443522,5.79165447348721,6.96964143184488e-09,1.71476325634043e-08
"Dm_00004080",154.034958110921,-0.153250862009827,0.154003817720571,-0.995110798408189,0.319682379281733,0.379745930759876
"Dm_00004081",606.099280622087,0.369975564240399,0.0784727417780688,4.71470163852231,2.42065186376421e-06,5.13253890604941e-06
"Dm_00004082",12.7370549594954,6.9429845804077,1.25133133869233,5.54847814141958,2.88166903451163e-08,6.84974270502898e-08
"Dm_00004083",0,NA,NA,NA,NA,NA
